startDate,siteID,regionName,SiteRef,siteDescription,flowDirection,trafficCount_x,siteRef,SH,siteType,geometry,date,week,month,year,holiday,trafficCount_y
2020-10-22 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1585.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-22,Thursday,10,2020,False,93721.0
2020-10-22 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22534.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-22,Thursday,10,2020,False,93721.0
2020-10-23 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22116.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-23,Friday,10,2020,False,88120.0
2020-10-23 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,772.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-23,Friday,10,2020,False,88120.0
2020-10-23 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2210.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-23,Friday,10,2020,False,88120.0
2020-10-23 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,21383.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-23,Friday,10,2020,False,88120.0
2020-10-23 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,17452.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-23,Friday,10,2020,False,88120.0
2020-10-23 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1373.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-23,Friday,10,2020,False,88120.0
2020-10-23 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,20757.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-23,Friday,10,2020,False,88120.0
2020-10-23 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,2057.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-23,Friday,10,2020,False,88120.0
